iter	Passed	Remaining
0	9	4640
1	16	4126
2	24	4082
3	31	3954
4	38	3787
5	44	3636
6	52	3710
7	58	3601
8	65	3555
9	71	3502
10	78	3505
11	86	3536
12	93	3487
13	100	3492
14	108	3500
15	115	3495
16	122	3489
17	129	3478
18	135	3439
19	142	3408
20	149	3402
21	156	3391
22	163	3397
23	170	3374
24	180	3425
25	190	3475
26	197	3464
27	203	3438
28	211	3437
29	221	3463
30	228	3459
31	235	3438
32	241	3414
33	248	3410
34	256	3408
35	263	3399
36	269	3369
37	276	3358
38	284	3357
39	290	3337
40	297	3328
41	302	3303
42	309	3294
43	318	3303
44	326	3302
45	333	3287
46	339	3269
47	345	3256
48	352	3247
49	360	3240
50	366	3226
51	373	3219
52	381	3219
53	388	3206
54	396	3209
55	402	3193
56	409	3181
57	418	3187
58	425	3183
59	432	3173
60	440	3173
61	449	3177
62	457	3174
63	465	3171
64	473	3168
65	483	3178
66	495	3202
67	507	3222
68	518	3239
69	527	3240
70	535	3232
71	544	3235
72	555	3250
73	565	3256
74	574	3255
75	586	3272
76	597	3284
77	607	3284
78	614	3272
79	621	3260
80	626	3243
81	634	3233
82	647	3254
83	660	3269
84	675	3297
85	686	3302
86	696	3307
87	710	3327
88	718	3318
89	725	3305
90	733	3298
91	747	3314
92	758	3320
93	771	3333
94	785	3346
95	793	3338
96	860	3576
97	886	3634
98	893	3618
99	902	3611
100	915	3617
101	930	3628
102	941	3629
103	954	3635
104	968	3642
105	984	3657
106	997	3664
107	1014	3680
108	1028	3690
109	1043	3700
110	1061	3719
111	1077	3732
112	1094	3747
113	1111	3764
114	1127	3776
115	1145	3790
116	1160	3800
117	1179	3819
118	1199	3840
119	1215	3850
120	1231	3856
121	1247	3864
122	1261	3867
123	1270	3853
124	1279	3839
125	1288	3823
126	1295	3804
127	1304	3790
128	1311	3770
129	1319	3754
130	1325	3734
131	1332	3714
132	1337	3691
133	1344	3673
134	1352	3656
135	1359	3638
136	1365	3618
137	1372	3600
138	1379	3582
139	1387	3569
140	1400	3565
141	1416	3571
142	1427	3564
143	1437	3554
144	1448	3545
145	1457	3534
146	1467	3524
147	1477	3513
148	1484	3498
149	1492	3483
150	1500	3469
151	1508	3454
152	1516	3439
153	1524	3425
154	1531	3408
155	1537	3391
156	1544	3373
157	1551	3357
158	1558	3343
159	1565	3325
160	1575	3317
161	1583	3304
162	1592	3293
163	1603	3284
164	1615	3279
165	1623	3266
166	1629	3249
167	1640	3241
168	1654	3240
169	1661	3225
170	1667	3207
171	1674	3193
172	1685	3185
173	1694	3173
174	1699	3156
175	1706	3142
176	1715	3129
177	1722	3116
178	1728	3100
179	1735	3085
180	1744	3074
181	1750	3058
182	1758	3046
183	1764	3030
184	1772	3017
185	1780	3004
186	1787	2992
187	1795	2979
188	1802	2966
189	1810	2954
190	1817	2940
191	1824	2927
192	1830	2912
193	1837	2898
194	1845	2886
195	1852	2873
196	1858	2858
197	1863	2843
198	1870	2829
199	1878	2818
200	1886	2805
201	1894	2794
202	1901	2782
203	1909	2770
204	1916	2757
205	1923	2745
206	1929	2730
207	1936	2718
208	1945	2708
209	1952	2696
210	1958	2682
211	1964	2668
212	1972	2657
213	1978	2644
214	1985	2631
215	1993	2621
216	2001	2609
217	2008	2598
218	2016	2586
219	2022	2574
220	2027	2559
221	2034	2548
222	2043	2537
223	2050	2526
224	2056	2513
225	2062	2500
226	2071	2490
227	2077	2478
228	2084	2466
229	2092	2456
230	2099	2445
231	2107	2435
232	2115	2424
233	2121	2411
234	2128	2399
235	2135	2388
236	2141	2376
237	2149	2366
238	2155	2354
239	2161	2341
240	2169	2331
241	2175	2319
242	2183	2309
243	2189	2296
244	2196	2286
245	2204	2276
246	2211	2265
247	2218	2254
248	2223	2241
249	2231	2231
250	2239	2221
251	2246	2210
252	2252	2199
253	2259	2187
254	2266	2177
255	2273	2166
256	2280	2156
257	2286	2144
258	2292	2133
259	2300	2123
260	2307	2112
261	2314	2102
262	2319	2090
263	2326	2079
264	2334	2069
265	2339	2058
266	2347	2048
267	2352	2036
268	2359	2026
269	2366	2016
270	2373	2005
271	2380	1995
272	2386	1984
273	2393	1974
274	2401	1965
275	2409	1955
276	2415	1944
277	2421	1933
278	2428	1923
279	2436	1914
280	2443	1904
281	2449	1893
282	2456	1883
283	2466	1875
284	2473	1866
285	2479	1855
286	2486	1845
287	2493	1835
288	2501	1826
289	2509	1817
290	2515	1806
291	2521	1796
292	2528	1786
293	2535	1776
294	2542	1766
295	2548	1756
296	2555	1746
297	2562	1736
298	2568	1726
299	2574	1716
300	2580	1706
301	2587	1696
