iter	Accuracy	MultiClass
143	0.7461466865	0.6519247287
144	0.7462106413	0.6515570393
145	0.7459896616	0.6506009065
146	0.7463943268	0.6499567828
147	0.7469425031	0.6493839888
148	0.7468546604	0.6490061484
149	0.7470213798	0.6482294828
150	0.7470306095	0.6477022686
151	0.7479373119	0.646486118
152	0.7481431321	0.645810417
153	0.7489251928	0.6447222586
154	0.7491847275	0.6442641763
155	0.7493602161	0.6438708535
156	0.749415062	0.6432119429
157	0.7494892972	0.6426637575
158	0.7497829333	0.6420135222
159	0.7498924951	0.6414527652
160	0.7502742559	0.6408797447
161	0.7506164101	0.6399980297
162	0.7507036534	0.6395170517
163	0.7511936301	0.6390604563
164	0.7512979601	0.6387295027
165	0.751548037	0.638276539
166	0.7513694049	0.6379238402
167	0.7514963082	0.6373043
168	0.7519346363	0.6363833456
169	0.7519127515	0.6361580676
170	0.7518088332	0.6357485435
171	0.7522680489	0.6355268261
172	0.7527324965	0.6346094074
173	0.7523854854	0.6342088281
174	0.7527379963	0.6337344804
175	0.7530044581	0.6333231576
176	0.7531280435	0.6324791409
177	0.7533240485	0.6322962828
178	0.7532723999	0.6319951798
179	0.7532300884	0.63171785
180	0.7535029315	0.631217199
181	0.7533353485	0.6309510969
182	0.7538215156	0.6304204416
183	0.7538390761	0.6299973131
184	0.7537980342	0.6296433622
185	0.7538299579	0.6293272498
186	0.7538613669	0.6288284029
187	0.7542282596	0.6281198919
188	0.7546046587	0.6273862142
189	0.7549379549	0.6271593063
190	0.7554803086	0.6262367435
191	0.7557623939	0.6258527791
192	0.7564165726	0.6245068988
193	0.7564739449	0.6241682983
194	0.7564489969	0.6238190049
195	0.7567168624	0.6229917074
196	0.7571515195	0.622683748
197	0.7573770735	0.6224470906
198	0.7574557404	0.6218464147
199	0.7571947298	0.6215514746
200	0.7574834605	0.6213106003
201	0.7574573187	0.6208034247
202	0.758040768	0.62037656
203	0.7581935627	0.6199439167
204	0.7586456057	0.6191835308
205	0.7587128785	0.6186581357
206	0.7589119601	0.6181154494
207	0.7590736667	0.6178345719
208	0.7595564528	0.6170793796
209	0.7596564586	0.6164328168
210	0.7594840465	0.6162044203
211	0.7595404034	0.6159539036
212	0.7596621733	0.6154715784
213	0.7596785934	0.6152276931
214	0.7599488872	0.6149495598
215	0.7600060004	0.6146535553
216	0.7602940292	0.6140580061
217	0.7605524236	0.6136830076
218	0.7604323619	0.6134001869
219	0.7605663617	0.613202751
220	0.7606581574	0.6128622767
221	0.7606933858	0.6127212168
222	0.7611040161	0.6122605968
223	0.7615095801	0.6117481437
224	0.7617439975	0.6114509378
225	0.7619070004	0.6110346315
226	0.762219324	0.6106409119
