iter	Passed	Remaining
398	246091	370679
399	246671	370006
400	247263	369353
401	247823	368653
402	248415	368000
403	248985	367315
404	249579	366665
405	250141	365970
406	250725	365307
407	251316	364655
408	251892	363981
409	252491	363342
410	253067	362669
411	253651	362007
412	254285	361417
413	254986	360923
414	255577	360271
415	256144	359587
416	256741	358945
417	257313	358269
418	257903	357617
419	258495	356970
420	259093	356329
421	259706	355712
422	260295	355060
423	260876	354398
424	261467	353750
425	262033	353068
426	262628	352426
427	263194	351745
428	263823	351149
429	264424	350516
430	265015	349869
431	265602	349217
432	266194	348573
433	266796	347942
434	267384	347292
435	267952	346617
436	268546	345975
437	269115	345302
438	269719	344675
439	270313	344035
440	270893	343377
441	271484	342733
442	272120	342146
443	272717	341511
444	273312	340872
445	273884	340206
446	274467	339553
447	275053	338905
448	275654	338275
449	276269	337662
450	276848	337005
451	277434	336358
452	278029	335721
453	278612	335071
454	279275	334516
455	279872	333882
456	280463	333241
457	281029	332572
458	281615	331925
459	282192	331269
460	282814	330666
461	283417	330040
462	283995	329386
463	284577	328736
464	285173	328102
465	285777	327478
466	286365	326836
467	286947	326188
468	287540	325552
469	288126	324908
470	288722	324276
471	289318	323644
472	289892	322988
473	290476	322342
474	291060	321698
475	291637	321045
476	292229	320411
477	292812	319766
478	293396	319121
479	293971	318468
480	294556	317827
481	295133	317176
482	295723	316540
483	296447	316047
484	297054	315429
485	297638	314786
486	298216	314137
487	298827	313523
488	299423	312894
489	300000	312245
490	300576	311595
491	301139	310932
492	301775	310344
493	302358	309702
494	302940	309060
495	303524	308420
496	304110	307781
497	304696	307143
498	305285	306508
499	305859	305859
500	306446	305222
501	307017	304571
502	307596	303927
503	308169	303277
504	308776	302661
505	309356	302020
506	309949	301390
507	310533	300752
508	311104	300103
509	311704	299480
510	312286	298841
511	312865	298199
512	313452	297566
513	314041	296934
514	314638	296309
515	315224	295675
516	315834	295063
517	316510	294513
518	317103	293885
519	317699	293261
520	318286	292628
521	318870	291992
522	319466	291368
523	320046	290729
524	320673	290133
525	321261	289501
526	321862	288882
527	322451	288251
528	323027	287610
529	323614	286979
530	324194	286341
531	324789	285717
532	325378	285088
533	325961	284453
534	326545	283820
535	327146	283201
536	327730	282568
537	328305	281927
538	328899	281303
539	329488	280675
540	330053	280027
541	330649	279405
542	331244	278782
543	331827	278149
544	332399	277507
545	332977	276871
546	333562	276240
547	334136	275601
548	334724	274973
549	335294	274331
550	335873	273697
551	336464	273072
552	337041	272436
553	337629	271809
