iter	MultiClass
177	0.1451233754
178	0.14492097
179	0.1447511715
180	0.1443988336
181	0.1443418812
182	0.1432388785
183	0.1430707396
184	0.1428479048
185	0.1426989214
186	0.1423783046
187	0.1422510533
188	0.1417781805
189	0.1410770783
190	0.1406219856
191	0.140530056
192	0.1404406693
193	0.1400266858
194	0.1398052168
195	0.1394112509
196	0.1391079139
197	0.1390104741
198	0.1390004409
199	0.1386935164
200	0.1386689112
201	0.1383009944
202	0.1382242433
203	0.1380709523
204	0.1377337803
205	0.1374549548
206	0.1373257413
207	0.1363308382
208	0.1361416103
209	0.1360281873
210	0.1358955426
211	0.1358534438
212	0.1356406198
213	0.1354279227
214	0.1351282276
215	0.1349837228
216	0.1341633783
217	0.133913322
218	0.1337429167
219	0.1334160831
220	0.1331644405
221	0.1330426
222	0.1328271373
223	0.1327438189
224	0.132625504
225	0.1325339306
226	0.1325294866
227	0.1323844874
228	0.1320901589
229	0.131774828
230	0.1317332812
231	0.1317095002
232	0.1316714334
233	0.131174837
234	0.1309230238
235	0.1308346835
236	0.130177258
237	0.1300550247
238	0.1300203444
239	0.1298465181
240	0.1298008521
241	0.12936767
242	0.1290899521
243	0.1290515147
244	0.1287923045
245	0.1287589958
246	0.1287299001
247	0.1285797035
248	0.1285611798
249	0.128558301
250	0.1285287655
251	0.1284817356
252	0.12812665
253	0.1279472943
254	0.1278083959
255	0.1277161936
256	0.1274609952
257	0.1274251207
258	0.1273396882
259	0.127260245
260	0.1272537433
261	0.1272158634
262	0.1270796356
263	0.1268857151
264	0.1264381106
265	0.1263263284
266	0.1261296121
267	0.1259080202
268	0.1258139829
269	0.1257943357
270	0.1256060068
271	0.1255580544
272	0.1255339902
273	0.1253572149
274	0.1253098752
275	0.1252504781
276	0.1252070389
277	0.1251178354
278	0.124995001
279	0.1248651778
280	0.1247041636
281	0.1245398628
282	0.124505732
283	0.124443115
284	0.1240675892
285	0.1239415075
286	0.1237472099
287	0.1234486251
288	0.1234162562
289	0.1232953754
290	0.1232451994
291	0.1232125115
292	0.1230331805
293	0.1227884567
294	0.1225389118
295	0.1224145057
296	0.1223511816
297	0.1222872993
298	0.1221199148
299	0.1219069364
300	0.1218673426
301	0.1216893013
302	0.1216754196
303	0.121369916
304	0.1213265635
305	0.1206672099
306	0.1205356783
307	0.120409201
308	0.1203834832
309	0.1203019972
310	0.1199782522
311	0.119940482
312	0.1199097155
313	0.1198460291
314	0.1196271418
315	0.119559618
316	0.119484129
317	0.119338469
318	0.1192471374
319	0.1191006654
320	0.1190685619
321	0.1190176265
322	0.11876627
323	0.1186758691
324	0.1185484343
325	0.1184674372
326	0.1183159866
327	0.1181970671
328	0.1180169663
329	0.1179441408
330	0.1173625207
331	0.1171273408
332	0.1170462723
333	0.1169387665
334	0.1166965728
335	0.1165821373
336	0.1165798687
337	0.1163851273
338	0.1163566733
339	0.1162544335
340	0.1161307137
341	0.1160261327
342	0.1159359801
343	0.1158091317
344	0.1156529603
345	0.1155696946
346	0.1154273337
347	0.1152160025
348	0.1151240755
349	0.115043558
350	0.1149743063
351	0.1148846704
352	0.1147723204
353	0.1146878888
354	0.1145691206
355	0.1144747152
356	0.1144474128
357	0.1143754021
358	0.1143210646
359	0.1141919551
360	0.1139216993
361	0.1138144113
362	0.1137152769
363	0.1136043501
364	0.1131008915
365	0.1129994254
366	0.1129089568
367	0.112831769
368	0.1128087132
369	0.1127872716
370	0.1124685619
371	0.1124663262
372	0.1124240904
373	0.1123927155
374	0.1123166859
375	0.1122386542
376	0.1121367464
377	0.1120972739
378	0.112052153
379	0.112039956
380	0.111976614
381	0.1117591169
382	0.1117208742
383	0.1116335971
384	0.1116183611
385	0.1115366762
386	0.1115099107
387	0.1114734582
388	0.1113968543
389	0.1110071241
390	0.1107702277
391	0.110739827
392	0.1107057406
393	0.1105608129
394	0.1104948269
395	0.1104749563
396	0.1104486984
397	0.1104271061
398	0.1103376981
399	0.1103172962
400	0.1102327247
401	0.1102105241
402	0.1100687738
403	0.1100364598
404	0.1099604443
405	0.1099340048
406	0.109802375
407	0.1096825655
408	0.1096288467
409	0.1095273632
410	0.1094800685
411	0.1094539513
412	0.1093285082
413	0.1092140703
414	0.1091645027
415	0.1091431936
416	0.1090474388
417	0.1090368726
418	0.1089967256
419	0.1087534451
420	0.1087419306
421	0.1086327594
422	0.1085711785
423	0.1084914824
424	0.1084363825
425	0.108383336
426	0.1081313764
427	0.1081018421
428	0.1080259067
429	0.1079712094
430	0.1077271238
431	0.1077021742
432	0.1075538271
433	0.1074584931
434	0.1073790924
435	0.1073504201
436	0.1072805004
437	0.1072405089
438	0.1071042402
439	0.1069020907
440	0.106738136
441	0.1066543866
442	0.1065962952
443	0.1064375721
444	0.1063385605
445	0.1063159308
446	0.1062958867
447	0.1061508945
448	0.1060678543
449	0.1058010701
450	0.1057858161
451	0.1057196933
452	0.1055553185
453	0.1054042314
454	0.1053908839
455	0.105282477
456	0.1052130243
457	0.1051959927
458	0.1050234925
459	0.1046160853
460	0.1045587274
461	0.1042242753
462	0.1041376979
463	0.1041276401
464	0.1040690268
465	0.1039616015
466	0.1038848497
467	0.1038737687
468	0.1038186261
469	0.103743814
470	0.1036745645
471	0.1036240965
472	0.1035702993
473	0.1035182592
474	0.1034630638
475	0.1034059622
476	0.1032831299
477	0.103164054
478	0.1031075169
479	0.1030196401
480	0.1029710539
481	0.1029056099
482	0.1028596233
483	0.102851814
484	0.1028061421
485	0.1027316483
486	0.1027060146
487	0.1025069426
488	0.1024126621
489	0.1023831224
490	0.1023413699
491	0.102309259
492	0.1022703753
493	0.1021789048
494	0.1020908966
495	0.102042791
496	0.1018905655
497	0.1018450321
498	0.1017356593
499	0.1017175298
500	0.101623654
501	0.1016011525
502	0.1015765336
503	0.1014903823
504	0.1012271336
505	0.1012129379
506	0.1010305068
507	0.1009949864
508	0.1009830506
509	0.1008046397
510	0.1006490355
511	0.1006050296
512	0.1005930642
513	0.1005357938
514	0.100412981
515	0.1003913213
516	0.1002737078
517	0.1002520179
518	0.1001312921
519	0.09994479649
520	0.0997891028
521	0.09965115377
522	0.09958088892
523	0.09952360902
524	0.09949064062
525	0.09944497308
526	0.09935428199
527	0.09927769706
528	0.09926183742
529	0.09919035706
530	0.09914417707
531	0.09898562011
532	0.09884997947
533	0.09884178933
534	0.09878411651
535	0.09872422522
536	0.09867414843
537	0.09859899231
538	0.09847070475
539	0.0984492799
540	0.09833807789
541	0.09829417321
542	0.09821230887
543	0.09816277565
544	0.09812076259
545	0.09801497657
546	0.09794849408
547	0.09793959292
548	0.0979017727
549	0.09783998299
550	0.09776944686
551	0.09758939098
552	0.09750271735
553	0.09741391961
554	0.09737931532
555	0.09736329657
556	0.09728617146
557	0.09721054014
558	0.09713601831
559	0.09710319946
560	0.09699593904
561	0.0968158824
562	0.09676938258
563	0.0966130654
564	0.09654227647
565	0.09652669737
566	0.09648070872
567	0.09644917275
568	0.0964474224
569	0.09641824301
570	0.09629482651
571	0.09614653659
572	0.09613159951
573	0.09604521422
574	0.09596628878
575	0.09583598991
576	0.09574858232
577	0.09571581652
578	0.09568258453
579	0.09562491322
580	0.09561210178
581	0.0955710052
582	0.09555555008
583	0.09555365497
584	0.0954633145
585	0.09540304137
586	0.09539083191
587	0.09535579787
588	0.09529187732
589	0.09518479887
590	0.095138913
591	0.09480830741
592	0.09475863844
593	0.09473316336
594	0.09458425847
595	0.09445120628
596	0.09436985142
597	0.09432453361
598	0.09419378447
599	0.09416395298
600	0.0941212269
601	0.09409238031
602	0.09399071566
603	0.09394102366
604	0.09388365011
605	0.09386664596
606	0.09378038675
607	0.09376878627
608	0.09372176952
609	0.0936426564
610	0.09358662871
611	0.09351725561
612	0.09344403724
613	0.09340876874
614	0.09333384608
615	0.0933079597
616	0.09325905028
617	0.09315032919
618	0.09309889999
619	0.09301950028
620	0.09298009567
621	0.0929694066
622	0.09289137959
623	0.09277413872
624	0.09271046506
625	0.09267274445
626	0.09263418772
627	0.09259671364
628	0.09258822575
629	0.09243881687
630	0.09238858486
631	0.09234243681
632	0.09226271745
633	0.09220031734
634	0.09207303821
635	0.09203844057
636	0.0918383376
637	0.0917623349
638	0.09170938783
639	0.09160215496
640	0.09149956639
641	0.09142845844
642	0.09137207233
643	0.09123180718
644	0.09115984954
645	0.09108672852
646	0.09098456427
647	0.09084555674
648	0.0907810161
649	0.09075335709
650	0.09069570252
651	0.09066689183
652	0.0905245497
653	0.09027655737
654	0.09020026193
655	0.09016173984
656	0.090130313
657	0.09008533108
658	0.09001403198
659	0.0898288039
660	0.08979229108
661	0.08973634631
662	0.08968538674
663	0.08958877902
664	0.08951782859
665	0.0894739184
666	0.08934900808
667	0.08934241174
668	0.08933229967
669	0.08924641925
670	0.08919360695
671	0.08903510891
672	0.088951709
673	0.08893902753
674	0.08893600068
675	0.08886282774
676	0.08882684241
677	0.08878414577
678	0.08877350482
679	0.08874595309
680	0.08869269163
681	0.08868841789
682	0.08864007364
683	0.08862008645
684	0.08854353321
685	0.08850632073
686	0.08846688698
687	0.08838685346
688	0.08835918997
689	0.08827393277
690	0.08822614429
691	0.08820157575
692	0.08818975253
693	0.08813414881
694	0.08808365947
695	0.08806402993
696	0.08801820987
697	0.08799151742
698	0.08798289025
699	0.08797008302
700	0.08793485562
701	0.08790388947
702	0.08786010801
703	0.08782214275
704	0.08779127241
705	0.0877496268
706	0.08772235985
707	0.08760443244
708	0.08758414221
709	0.08758236073
710	0.08756207459
711	0.08753545015
712	0.08747782395
713	0.08739841772
714	0.0873667546
715	0.08734794206
716	0.0871620995
717	0.08712024474
718	0.08707154749
719	0.08704704054
720	0.08690329013
721	0.08682081005
722	0.08670475539
723	0.08660394544
724	0.08648038093
725	0.08640035743
726	0.08637096876
727	0.08632268133
728	0.08629246052
729	0.08616999066
730	0.08613277547
731	0.08606376326
732	0.08604506448
733	0.08598909468
734	0.08598282046
735	0.08592723234
736	0.08588801299
737	0.08574146903
738	0.08566537017
739	0.08565562332
740	0.08556058925
741	0.0855217069
742	0.08548320711
743	0.0854479768
744	0.08541834727
745	0.08537860767
746	0.08527771423
747	0.08518481771
748	0.08508974272
749	0.08503704094
750	0.08494880323
751	0.08493461399
752	0.08481223321
753	0.08469036685
754	0.08466379029
755	0.0845964559
756	0.08452524647
757	0.08444051921
758	0.08439015069
759	0.08433280146
760	0.08424887141
761	0.08408138625
762	0.08404039049
763	0.08401826422
764	0.08393038214
765	0.08387676954
766	0.08377677867
767	0.08365061033
768	0.08358194841
769	0.0834962903
770	0.08344359734
771	0.08331266382
772	0.08328280422
773	0.08324746727
774	0.08319929203
775	0.08319196352
776	0.08317660289
777	0.08312623697
778	0.08308047037
779	0.08306664158
780	0.08302975003
781	0.08292246229
782	0.08289213195
783	0.08282036612
784	0.0827528567
785	0.08270375963
786	0.08266082171
787	0.0825712096
788	0.08244272555
789	0.08236874381
790	0.08228158349
791	0.08224620783
792	0.08222397409
793	0.08214884023
794	0.08214380508
795	0.08208146963
796	0.0820576074
797	0.08204190286
798	0.08194815654
799	0.08193744278
800	0.08192682432
801	0.08188802286
802	0.08186472956
803	0.08183673976
804	0.08180112026
805	0.08173338305
806	0.08167491749
807	0.08155021504
808	0.08153696639
809	0.08147995891
810	0.08144348799
811	0.08140737595
812	0.08134889342
813	0.08129774733
814	0.08124409222
815	0.08119761681
816	0.0811441339
817	0.08110291125
818	0.08107070301
819	0.08098286701
820	0.0809398971
821	0.08090705165
822	0.08087313314
823	0.08082852618
824	0.080770616
825	0.0806372234
826	0.08060451253
827	0.08058788954
828	0.08038668694
829	0.08031104411
830	0.08023199954
831	0.08010955181
832	0.08004518214
833	0.07999338713
834	0.0798454306
835	0.07983886767
836	0.07981830537
837	0.07981310647
838	0.07978108205
839	0.07973882989
840	0.07969787213
841	0.07966354283
842	0.07960522511
843	0.07948962378
844	0.07946232566
845	0.07929885882
846	0.07929488436
847	0.07922941722
848	0.07915609514
849	0.07898184984
850	0.07881317101
851	0.07879208458
852	0.07872403745
853	0.07866541265
854	0.07847484553
855	0.07841647236
856	0.07832865298
857	0.0783205491
858	0.07831130821
859	0.07828604983
860	0.07824584534
861	0.07820415909
862	0.07811970977
863	0.07809824376
864	0.07800286104
865	0.07799780888
866	0.07797048531
867	0.07793532371
868	0.07790490301
869	0.07787835449
870	0.07786395495
871	0.07784123446
872	0.07781100264
873	0.07776306578
874	0.07770156913
875	0.077670919
876	0.07766185625
877	0.07765666692
878	0.077594667
879	0.07754789449
880	0.07747089741
881	0.07746757706
882	0.07743639242
883	0.07740986843
884	0.07737305175
885	0.07730319246
886	0.07720654572
887	0.07717278295
888	0.07707756632
889	0.07705151057
890	0.07703116641
891	0.07698924391
892	0.07695402871
893	0.07693255097
894	0.07691092921
895	0.07688192173
896	0.07681287959
897	0.07677654231
898	0.07672714863
899	0.07664392861
900	0.07663877486
901	0.07660964657
902	0.07651300877
903	0.07646167148
904	0.07642541001
905	0.07630786357
906	0.07626972406
907	0.07617740028
908	0.07616588073
909	0.07608303923
910	0.07607507495
911	0.07605242975
912	0.07602183907
913	0.07592792383
914	0.07590628188
915	0.07578612626
916	0.07576633947
917	0.07571956661
918	0.07569832043
919	0.07567016467
920	0.07566044943
921	0.07565586413
922	0.07557644457
923	0.07547415929
924	0.07539368654
925	0.07532203461
926	0.07527282286
927	0.07518067024
928	0.07516593585
929	0.07503807729
930	0.07502676981
931	0.07499452773
932	0.07498796089
933	0.0749743013
934	0.07491478302
935	0.0748848437
936	0.07486232012
937	0.07485782911
938	0.07481936154
939	0.07481044627
940	0.0748034418
941	0.07473302354
942	0.07464532403
943	0.0746265508
944	0.07453068569
945	0.07418277479
946	0.07414950798
947	0.07409703451
948	0.07405428809
949	0.0739773929
950	0.0738988288
951	0.07385811184
952	0.07382376616
953	0.07375370695
954	0.07374012586
955	0.07369270696
956	0.07367629161
957	0.07363963919
958	0.07361323752
959	0.07357678394
960	0.07354730957
961	0.07352144606
962	0.07349373457
963	0.07348154886
964	0.07337393451
965	0.0733077127
966	0.07314338797
967	0.07314243774
968	0.07307771322
969	0.07302279694
970	0.07289341861
971	0.07287302739
972	0.07286229897
973	0.07280618218
974	0.07275794115
975	0.07251333559
976	0.07249718656
977	0.07247533294
978	0.07243950215
979	0.07237139946
980	0.07230550044
981	0.07224842266
982	0.07221520165
983	0.07213398929
984	0.07209662272
985	0.0720702028
986	0.0720096493
987	0.07197051606
988	0.07193549333
989	0.07185808501
990	0.07178844856
991	0.07175759801
992	0.07175186599
993	0.07168766739
994	0.07168201239
995	0.07164249775
996	0.07161956621
997	0.07155346295
998	0.07153962988
999	0.07142086247
