iter	Passed	Remaining
0	9	4582
1	16	4200
2	23	3820
3	29	3609
4	36	3600
5	42	3526
6	49	3478
7	55	3406
8	62	3385
9	70	3433
10	78	3504
11	89	3627
12	96	3629
13	104	3630
14	111	3592
15	117	3564
16	123	3495
17	129	3477
18	137	3484
19	144	3463
20	150	3429
21	155	3380
22	163	3396
23	174	3469
24	188	3577
25	198	3625
26	208	3653
27	217	3673
28	227	3695
29	238	3737
30	248	3765
31	258	3774
32	268	3801
33	278	3822
34	288	3835
35	299	3857
36	309	3870
37	317	3855
38	323	3824
39	331	3814
40	344	3854
41	355	3881
42	369	3924
43	381	3958
44	394	3990
45	408	4029
46	420	4055
47	434	4089
48	446	4113
49	459	4135
50	470	4144
51	483	4163
52	495	4176
53	509	4208
54	524	4242
55	535	4243
56	547	4253
57	558	4254
58	569	4256
59	579	4250
60	591	4256
61	603	4260
62	614	4260
63	625	4261
64	637	4268
65	648	4262
66	659	4260
67	670	4262
68	682	4265
69	695	4274
70	707	4273
71	719	4274
72	729	4269
73	739	4258
74	750	4252
75	762	4253
76	774	4253
77	785	4247
78	797	4251
79	809	4251
80	820	4243
81	831	4240
82	843	4238
83	855	4234
84	864	4220
85	872	4199
86	879	4176
87	888	4158
88	896	4138
89	904	4119
90	910	4092
91	916	4066
92	923	4040
93	930	4020
94	938	4000
95	944	3973
96	951	3953
97	958	3932
98	965	3908
99	972	3888
100	978	3866
101	986	3849
102	994	3833
103	1002	3817
104	1009	3799
105	1017	3781
106	1025	3766
107	1033	3750
108	1039	3728
109	1044	3704
110	1052	3688
111	1060	3672
112	1068	3658
113	1075	3640
114	1083	3625
115	1090	3610
116	1097	3593
117	1104	3574
118	1109	3551
119	1116	3534
120	1123	3519
121	1129	3500
122	1136	3483
123	1141	3461
124	1148	3445
125	1156	3432
126	1163	3416
127	1174	3413
128	1184	3407
129	1194	3399
130	1206	3399
131	1215	3389
132	1221	3370
133	1227	3351
134	1233	3335
135	1240	3320
136	1247	3306
137	1293	3393
138	1314	3413
139	1327	3413
140	1335	3401
141	1350	3404
142	1360	3395
143	1370	3387
144	1376	3369
145	1383	3354
146	1388	3334
147	1395	3318
148	1403	3306
149	1410	3291
150	1417	3275
151	1423	3258
152	1429	3242
153	1437	3229
154	1445	3216
155	1452	3202
156	1459	3188
157	1467	3176
158	1473	3160
159	1485	3156
160	1499	3157
161	1511	3153
162	1522	3147
163	1533	3141
164	1542	3132
165	1548	3115
166	1555	3100
167	1562	3088
168	1569	3074
169	1576	3060
170	1582	3044
171	1588	3028
172	1595	3015
173	1602	3002
174	1609	2989
175	1615	2974
176	1622	2960
177	1629	2948
178	1635	2933
179	1641	2919
180	1648	2904
181	1653	2889
182	1662	2879
183	1668	2864
184	1675	2852
185	1681	2838
186	1687	2824
187	1694	2812
188	1701	2800
189	1708	2787
190	1714	2772
191	1720	2760
192	1728	2749
193	1735	2737
194	1742	2725
195	1748	2711
196	1755	2700
197	1763	2689
198	1769	2676
199	1775	2663
200	1781	2649
201	1787	2637
202	1795	2627
203	1803	2616
204	1809	2603
205	1814	2589
206	1822	2579
207	1830	2569
208	1836	2557
209	1843	2545
210	1849	2533
211	1856	2522
212	1864	2512
213	1872	2502
214	1878	2489
215	1885	2479
216	1893	2469
217	1899	2457
218	1906	2446
219	1912	2434
220	1919	2423
221	1926	2412
222	1932	2400
223	1938	2388
224	1944	2376
225	1951	2365
226	1958	2355
227	1964	2344
228	1972	2334
229	1978	2322
230	1985	2312
231	1993	2302
232	2000	2292
233	2006	2281
234	2013	2270
235	2019	2259
236	2027	2249
237	2034	2239
238	2043	2231
239	2052	2223
240	2058	2212
241	2064	2201
242	2071	2191
243	2078	2180
244	2085	2170
245	2090	2158
246	2096	2147
247	2105	2139
248	2111	2128
249	2119	2119
250	2125	2108
251	2133	2099
252	2141	2090
253	2148	2081
