iter	Accuracy	MultiClass
0	0.6727506905	1.449834615
1	0.6723021552	1.339481544
2	0.6792344829	1.26013708
3	0.6750702201	1.189600697
4	0.6897998505	1.133707585
5	0.6906318061	1.085648262
6	0.6893484709	1.045160826
7	0.6891701925	1.013950555
8	0.6912158886	0.9840431741
9	0.6906342046	0.962002786
10	0.6908367787	0.9395442344
11	0.6924289606	0.9225191859
12	0.6995313298	0.9038763962
13	0.7004776263	0.8887782889
14	0.701176349	0.8754619124
15	0.7005437595	0.8611267697
16	0.703223726	0.8500629546
17	0.7026360871	0.8389959601
18	0.7028655182	0.8297072748
19	0.7032862195	0.8223543859
20	0.7035050914	0.8147883466
21	0.707451359	0.8088007364
22	0.7098554021	0.8026397099
23	0.7094478698	0.796590439
24	0.7097072522	0.7914572347
25	0.7099481925	0.7856482181
26	0.7096366324	0.7807004216
27	0.7105347293	0.777644201
28	0.7103472211	0.773143846
29	0.7112764078	0.7688986702
30	0.7109014692	0.7642355912
31	0.711668345	0.7608491887
32	0.7119207242	0.7582221045
33	0.7111358793	0.7551288718
34	0.7118689231	0.7531150783
35	0.7122061861	0.7505831341
36	0.7136757571	0.7487322109
37	0.7142460363	0.7469698764
38	0.7143782706	0.7448726837
39	0.7152319693	0.742959467
40	0.7167082729	0.7398889512
41	0.7170553107	0.7377311831
42	0.7173189227	0.7366278487
43	0.7185896843	0.7351841694
44	0.7185004941	0.7337030491
45	0.7192027453	0.7322348528
46	0.7195872577	0.7309044243
47	0.7206673388	0.7285472152
48	0.7207543908	0.7273596751
49	0.7210135762	0.7256478313
50	0.7213046446	0.7244066003
51	0.7212308282	0.7233291458
52	0.7216638638	0.722070629
53	0.7217821246	0.720624366
54	0.7221449617	0.7196808684
55	0.7226036701	0.7189137694
56	0.722921848	0.7176908749
57	0.7231816012	0.7168316608
58	0.7230998433	0.7162917905
59	0.7233768804	0.7148302392
60	0.7237794357	0.7135512435
61	0.7237583868	0.7125603889
62	0.7239176035	0.7110775804
63	0.7244078287	0.7098985973
64	0.7256571673	0.7082723344
65	0.7257574513	0.7068417177
66	0.7263597562	0.7050979989
67	0.7264457842	0.704335511
68	0.7266322988	0.7027228679
69	0.7265839676	0.7018359928
70	0.7268503839	0.7010975341
71	0.7276866952	0.6996632599
72	0.727935175	0.6989119497
73	0.728140171	0.6983315274
74	0.7284380016	0.6974622326
75	0.7284766693	0.6967396489
76	0.7284438151	0.6962833282
77	0.7287484755	0.6947392947
78	0.7293902051	0.6938193042
79	0.7296174974	0.6932039604
80	0.7298485548	0.69259178
81	0.7298055184	0.6917391466
82	0.7300609387	0.6910229297
83	0.7304308279	0.6902726076
84	0.7307168575	0.6894578842
85	0.7308279359	0.6885158349
86	0.731426204	0.6874642233
87	0.7317178595	0.6865948896
88	0.732240393	0.6857025002
89	0.7324656508	0.6850149955
90	0.7327704042	0.6838723721
91	0.7329810078	0.6829559485
92	0.7335432604	0.6822748253
93	0.7332525576	0.6816659595
94	0.733588439	0.6809350223
95	0.7335708916	0.680327839
96	0.7342236574	0.679763436
97	0.7344066789	0.6788642928
98	0.7345309593	0.6785139719
99	0.7343644473	0.6777781185
100	0.7342859941	0.6772711101
101	0.7342869241	0.6767489842
102	0.7348237544	0.6763817613
103	0.735143242	0.6758051854
104	0.7351252561	0.6755067797
105	0.7355183854	0.6748853232
106	0.7357554577	0.6736381807
107	0.7359398343	0.6728172133
108	0.7368933958	0.6720846402
109	0.7371824485	0.671899913
110	0.7371275483	0.6714498499
111	0.7380673493	0.6705427416
112	0.7380436839	0.6700928773
113	0.7381496473	0.669062801
114	0.7382089963	0.6684754473
115	0.7384594123	0.6677557286
116	0.7389222571	0.667160793
117	0.739104778	0.6666141654
118	0.7389196856	0.6661410296
119	0.7396340644	0.6649139496
120	0.7395982486	0.6641561178
121	0.7399150082	0.6638503481
122	0.7403397163	0.6633427164
123	0.7403270611	0.6629999385
124	0.7407598906	0.6624977075
125	0.7410973414	0.6617686311
126	0.7411757536	0.6613053802
127	0.7416789073	0.6602692138
128	0.7416583907	0.6599327784
129	0.7418368874	0.6590174222
130	0.7420533894	0.6584679658
131	0.7422610144	0.6578508684
132	0.7425620557	0.6573115524
133	0.7422451082	0.6568798795
134	0.7419663362	0.6562197304
135	0.7422851663	0.6557707081
136	0.7426534681	0.6549753135
137	0.7426749147	0.6538500446
138	0.7429555735	0.6533112131
139	0.7435082247	0.6528228559
140	0.7436458442	0.6522121136
141	0.7439037819	0.6517610195
142	0.7438564436	0.6512170748
143	0.7439474494	0.6507195406
144	0.7443418396	0.6504471037
145	0.7443320596	0.649909352
146	0.7446887569	0.6492779287
147	0.7449032555	0.6486331125
148	0.7457009121	0.6479681573
149	0.7459038825	0.6474072037
150	0.7462273725	0.64637615
151	0.7465289597	0.6453789763
152	0.747193674	0.644490242
153	0.7470706236	0.6442297402
154	0.7471095102	0.6437611591
155	0.7475376982	0.6433771161
156	0.7483558315	0.6426814825
157	0.7482968972	0.6415921528
158	0.7484875745	0.6410046751
159	0.7487793057	0.6404624007
160	0.7493507388	0.6400884016
161	0.7510562869	0.6386559983
162	0.7511312253	0.6379529851
163	0.7515912702	0.6373680368
164	0.7518602128	0.6366182352
165	0.7519150059	0.6362465014
166	0.7523208165	0.6355859117
167	0.7525050771	0.6353334724
168	0.7524841983	0.6348728253
169	0.7525268281	0.6345451365
170	0.7529808273	0.6342136759
171	0.7530693062	0.6339501183
172	0.7531093332	0.633235496
173	0.7532774235	0.6328057296
174	0.7532956728	0.6325015422
175	0.7534997701	0.6318006736
176	0.7536988857	0.6312767428
177	0.7538914992	0.6311116918
178	0.7542241469	0.630832024
179	0.7543336121	0.63062573
180	0.7544655435	0.6299546203
181	0.7545255724	0.6294695819
182	0.7551456139	0.6289273832
183	0.7549866102	0.6287268029
184	0.7558687748	0.6280059133
185	0.7559964893	0.6274380592
186	0.7562315045	0.6269774541
187	0.7564351322	0.6262452646
188	0.7568991169	0.6257386547
189	0.7570072269	0.625423285
190	0.7573447039	0.6249477022
191	0.7576641687	0.6244557801
192	0.7583554371	0.6234403095
193	0.758872104	0.6225954681
194	0.7592590935	0.6223726516
195	0.7594747192	0.6217914482
196	0.7598492949	0.6212461715
197	0.7601876221	0.6208603353
198	0.7602967517	0.6204360909
199	0.7606627995	0.6201314886
200	0.7604736333	0.6198231608
201	0.7607571541	0.6195707995
202	0.7610384881	0.6187071969
203	0.7611737108	0.6183000494
204	0.760964131	0.6179200343
205	0.7612346166	0.6176134839
206	0.7612748718	0.6171904308
207	0.7613489873	0.6169610873
208	0.7618002814	0.616084702
209	0.76219824	0.6152035095
210	0.7623233163	0.6149621452
211	0.7626294912	0.6147763077
212	0.7627968075	0.6145587374
213	0.7633386643	0.6138761476
214	0.7633290856	0.6135162806
215	0.7638381098	0.6127128623
216	0.7637230726	0.6123000425
217	0.7638859085	0.6116345573
218	0.7638137426	0.6114501857
219	0.7642165714	0.6107695658
220	0.7644267456	0.6103557476
221	0.7643708794	0.6101205609
222	0.7644803446	0.6099178004
223	0.7646940206	0.6097315376
224	0.7648970042	0.6093290609
225	0.7647221075	0.6088459281
226	0.7648182155	0.6085350465
227	0.7647280503	0.6081118134
228	0.7653473273	0.6069743414
229	0.7656119641	0.6066314159
230	0.7656396847	0.6063501694
231	0.7657424508	0.6057784735
232	0.7657651451	0.6050287371
233	0.7659957153	0.6047547045
234	0.7660452533	0.604301284
235	0.7662477765	0.6041480936
236	0.7666493709	0.6038754586
237	0.7667989572	0.603687467
238	0.7668350087	0.6031295399
239	0.7672696853	0.6024746388
240	0.7673996671	0.6019862046
241	0.7673821064	0.6019273281
242	0.7675812444	0.6017558204
243	0.7680349619	0.6011356017
244	0.7682373644	0.6007898403
245	0.7682104664	0.6004989879
246	0.7682536774	0.6003163379
247	0.7683774388	0.5999403003
248	0.7685917629	0.5996976221
249	0.7688069367	0.5995283851
250	0.7692123096	0.5991707408
251	0.7695240432	0.598564577
252	0.7696165421	0.5981265828
253	0.7702986478	0.5973259804
254	0.7704350109	0.5966558332
255	0.7707198466	0.5962596693
256	0.770771335	0.5958833281
257	0.7706228624	0.5954775134
258	0.7708095198	0.5951827644
259	0.7711972111	0.5947492683
260	0.7712086187	0.5943376073
261	0.7714190211	0.5938565043
262	0.7717751596	0.5936916959
263	0.7722504311	0.5931438616
264	0.7720241536	0.5929029461
265	0.7726784314	0.5923748421
266	0.773055766	0.5916586033
267	0.7733942139	0.5913122709
268	0.7733546606	0.5911028325
269	0.7734670817	0.5906016151
270	0.773541318	0.5904454342
271	0.7736445225	0.5902138149
272	0.7737828353	0.5899229294
273	0.7737117963	0.5898361596
274	0.7737478345	0.5894983786
275	0.7737672241	0.5888505098
276	0.7737577662	0.5886486254
277	0.7743520276	0.5878320446
278	0.7745315121	0.5875330715
279	0.77462182	0.5871337916
280	0.7749068526	0.5868035912
281	0.7748880039	0.5862999218
282	0.7753417214	0.5857663793
283	0.7755729582	0.5855542411
284	0.7754429897	0.5851894764
285	0.7756100828	0.5848826963
286	0.7757226246	0.584218004
287	0.7760828236	0.5839726732
288	0.7760116639	0.5837674932
289	0.7755150885	0.5835779902
290	0.7754851139	0.58340415
291	0.7752910556	0.5829635857
292	0.7754746497	0.5827275373
293	0.7758189555	0.5822795542
294	0.7761182754	0.5820824994
295	0.7761326077	0.5816840009
296	0.776170488	0.5814849337
297	0.7764741322	0.5808330307
298	0.7764479228	0.5805889538
299	0.7762706026	0.5803623495
300	0.7767764614	0.5801341115
301	0.7768217294	0.5800292406
302	0.7768551647	0.5795358753
303	0.777575617	0.5792816457
304	0.7774124097	0.5786793967
305	0.7779032385	0.5781948074
306	0.7780609408	0.5779686681
307	0.7778248882	0.5777698019
308	0.7780354876	0.5774180888
309	0.7785592244	0.5768331649
310	0.7787627406	0.5765401653
311	0.7788226268	0.5763226504
312	0.7791456606	0.5759026608
313	0.7790620871	0.5756243183
314	0.7793997125	0.5751354752
315	0.779384419	0.5750045314
316	0.7796774649	0.5745470857
317	0.779738344	0.5742202419
318	0.7798752883	0.5740521951
319	0.7801815839	0.5736770942
320	0.7801433858	0.5732404183
321	0.7804847896	0.5727249472
