iter	Accuracy	MultiClass
0	0.6635716621	1.454658329
1	0.6664038364	1.341990479
2	0.6710710543	1.259758676
3	0.6723524146	1.19077803
4	0.6763483426	1.136863326
5	0.6879552095	1.089609753
6	0.6907366624	1.049727376
7	0.6895206233	1.017707158
8	0.6919952119	0.9901740361
9	0.6917990559	0.9652806562
10	0.6919487274	0.9429145055
11	0.6925548014	0.9231554704
12	0.6933182139	0.9053112769
13	0.6934756482	0.8914073299
14	0.6948328678	0.8780071606
15	0.698257842	0.8655842449
16	0.6997788265	0.8546763708
17	0.699153766	0.8448169329
18	0.7003588819	0.8348992433
19	0.7019441567	0.8269277314
20	0.701789868	0.8195641324
21	0.7015599261	0.8124567682
22	0.7038757644	0.8056052467
23	0.705477009	0.7995027952
24	0.7059931584	0.793436778
25	0.7065557766	0.7883095394
26	0.7058873366	0.7821708393
27	0.7063747871	0.7794575485
28	0.7083678098	0.7774430439
29	0.7082481081	0.7722518362
30	0.7085738034	0.7689948558
31	0.7090664245	0.7658187577
32	0.7106232761	0.7635792067
33	0.7107938455	0.7613780347
34	0.7111223007	0.758429479
35	0.7120518485	0.7550569364
36	0.7131581143	0.7527114526
37	0.7141798538	0.7508341959
38	0.7149228672	0.7485696526
39	0.7147938684	0.7474059147
40	0.7156032519	0.7455504333
41	0.7166593533	0.742837653
42	0.7166263703	0.7415730912
43	0.7176596924	0.7397552583
44	0.7185353737	0.7388399192
45	0.7187107728	0.7374002033
46	0.719175866	0.7354614941
47	0.7197637084	0.732793467
48	0.7202564315	0.731552666
49	0.7201625283	0.7300506725
50	0.7206207943	0.7286133447
51	0.721291287	0.7269210027
52	0.7212255053	0.7259692653
53	0.7211384985	0.724985761
54	0.721585815	0.7240884149
55	0.7214961016	0.7221532613
56	0.7221452344	0.7204059748
57	0.7221422651	0.719325904
58	0.7226562807	0.7182962186
59	0.7228708324	0.7169825448
60	0.7234785489	0.7159459197
61	0.7239334681	0.7146450154
62	0.7245732501	0.7133210344
63	0.724757728	0.7119779567
64	0.7256964716	0.71072422
65	0.7259715427	0.7103360664
66	0.7257721012	0.7093733904
67	0.7261478366	0.7084188847
68	0.7268563114	0.7074639783
69	0.7269353393	0.7066371943
70	0.7270573406	0.7058197677
71	0.7270808283	0.7050079831
72	0.7272931676	0.7043367033
73	0.7271616761	0.7038217036
74	0.7269133307	0.7033381121
75	0.7270302608	0.7024512843
76	0.7267712047	0.7012770109
