iter	Passed	Remaining
419	3266	622
420	3275	614
421	3282	606
422	3288	598
423	3295	590
424	3301	582
425	3309	574
426	3317	567
427	3323	559
428	3330	551
429	3337	543
430	3343	535
431	3350	527
432	3358	519
433	3366	511
434	3374	504
435	3381	496
436	3388	488
437	3394	480
438	3403	472
439	3409	464
440	3416	457
441	3422	449
442	3428	441
443	3441	434
444	3456	427
445	3463	419
446	3472	411
447	3480	403
448	3486	396
449	3492	388
450	3499	380
451	3507	372
452	3514	364
453	3520	356
454	3526	348
455	3535	341
456	3541	333
457	3549	325
458	3557	317
459	3564	309
460	3572	302
461	3579	294
462	3586	286
463	3592	278
464	3600	271
465	3607	263
466	3614	255
467	3622	247
468	3629	239
469	3636	232
470	3644	224
471	3652	216
472	3658	208
473	3669	201
474	3675	193
475	3682	185
476	3688	177
477	3696	170
478	3703	162
479	3711	154
480	3717	146
481	3724	139
482	3731	131
483	3738	123
484	3745	115
485	3753	108
486	3760	100
487	3769	92
488	3776	84
489	3783	77
490	3789	69
491	3797	61
492	3803	54
493	3810	46
494	3816	38
495	3823	30
496	3831	23
497	3837	15
498	3845	7
499	3853	0
