iter	Accuracy	MultiClass
186	0.7527704709	0.6349903126
187	0.7529798901	0.6344251185
188	0.7535770856	0.6337630932
189	0.7538606449	0.6330060348
190	0.7540337069	0.6328366687
191	0.7542468668	0.6323566949
192	0.7543756501	0.6321243742
193	0.7544423374	0.6317093775
194	0.7545371471	0.6313192404
195	0.7551062122	0.6308692417
196	0.7552498662	0.6304448758
197	0.7552520367	0.6301457233
198	0.7554855973	0.6297627448
199	0.7555136053	0.6294028841
200	0.7559601161	0.6288900882
201	0.7559047331	0.6287350129
202	0.7565864659	0.6275550766
203	0.7566892742	0.6270323001
204	0.7570111289	0.6263933603
205	0.7571824323	0.6260914781
206	0.7574410361	0.625539872
207	0.7577498047	0.6251793953
208	0.7577261982	0.6246679021
209	0.7574572402	0.6243380898
210	0.7574798353	0.6240500553
211	0.7578905137	0.6237889518
212	0.7578721691	0.6234521598
213	0.7579519624	0.6230549587
214	0.7582888104	0.6226232578
215	0.7584011228	0.6224854135
216	0.7584471684	0.6221312073
217	0.7582056453	0.6217563512
218	0.7587526599	0.6214511824
219	0.758778952	0.6213150836
220	0.7591127073	0.6207536574
221	0.7592487542	0.6203952101
222	0.759364518	0.6200799478
223	0.7594992362	0.6198288445
224	0.7594751431	0.6195509747
225	0.7595946789	0.6191617255
226	0.7597552823	0.6186094138
227	0.7600961195	0.6177646441
228	0.7601364629	0.6175945089
229	0.7604204374	0.6172473186
230	0.7604135577	0.6165956235
231	0.7608015186	0.615844042
232	0.7610230561	0.6152358569
233	0.7611070999	0.6144823635
234	0.7614064106	0.6142441124
235	0.7614184854	0.6139741778
236	0.7616423166	0.6136555933
237	0.7615826117	0.6132468007
238	0.7615434307	0.6129140327
239	0.7618754702	0.6125726543
240	0.7624111341	0.6114883536
241	0.7625760825	0.611164844
242	0.7626799744	0.6109948678
243	0.7628801739	0.61065667
244	0.7631187323	0.6103366802
245	0.7636061086	0.6095968567
246	0.7637538899	0.6091032723
247	0.7637703812	0.6086097587
248	0.7639599345	0.6081473052
249	0.763982194	0.6074652318
250	0.7642219584	0.6069606346
251	0.7643742359	0.6065141869
252	0.7644610551	0.6061888487
253	0.7645592216	0.6057637563
254	0.7649281817	0.6054365495
255	0.76499895	0.6051434009
256	0.7653930909	0.6041019859
257	0.7653536411	0.6039511049
258	0.7654115819	0.6037103835
259	0.765818374	0.6030608238
260	0.7658389694	0.6028887799
261	0.7660311037	0.6025773394
262	0.766718751	0.602017485
263	0.7668986212	0.6015698626
264	0.7671734707	0.6009477546
265	0.7673465559	0.6006259564
266	0.7678917552	0.6000881995
267	0.7678445321	0.5997275364
268	0.7681519006	0.5995363634
269	0.7680556439	0.599390043
270	0.7682992749	0.5990799716
271	0.7685637899	0.5986159167
272	0.7688707712	0.598135623
273	0.7696010155	0.5972270365
274	0.7700385244	0.5967433789
275	0.7700268417	0.5963656751
276	0.7703222579	0.5959770665
277	0.7702938429	0.5957645502
278	0.7702756875	0.5954864353
279	0.7703879053	0.5948907538
280	0.770468011	0.5945144608
281	0.7706344262	0.5940788218
282	0.7708521999	0.5938678913
283	0.7710097821	0.5936152742
284	0.7712889017	0.5934386572
285	0.7713070571	0.5931375983
286	0.7713664496	0.593005758
287	0.7718302426	0.5924565556
288	0.7717210692	0.5922879146
289	0.7717020201	0.5919508523
290	0.7718962255	0.5917516746
291	0.7719223285	0.5915345668
292	0.7719949501	0.5910636154
293	0.7721221128	0.5908350914
294	0.7728471389	0.5899988404
295	0.7728831373	0.5897986402
296	0.7729620655	0.5895224043
297	0.7731751103	0.5892155603
298	0.7733121971	0.5889494628
299	0.7731256854	0.5887199154
300	0.7732071714	0.5883353463
301	0.7739054697	0.5876535937
302	0.7741510588	0.586984714
303	0.7747453196	0.5861474311
304	0.774809733	0.5860190613
305	0.77490051	0.5859062802
306	0.7749839011	0.5855528808
307	0.7752340789	0.5851932306
308	0.775529472	0.5847184431
309	0.7755508583	0.5845367495
310	0.7755806018	0.5842839937
311	0.7755483237	0.5841260173
312	0.7754484216	0.583654237
313	0.775977312	0.583213551
314	0.7760412953	0.5827241833
315	0.7760014616	0.5823579234
316	0.7762663435	0.5820858219
317	0.776398504	0.581859037
318	0.7763735608	0.5816888984
319	0.7767532896	0.5815275654
320	0.7769786699	0.581314486
321	0.7770511255	0.5807122803
322	0.7770183606	0.5805688637
323	0.7773036637	0.5799963504
324	0.7775082362	0.579743643
325	0.7773151572	0.5795461361
326	0.7774142173	0.5793955882
327	0.7780091622	0.5785974621
328	0.777915681	0.5785358466
329	0.777954455	0.5784189568
330	0.7780293737	0.5783076104
331	0.778082883	0.5779968575
332	0.7784352565	0.5775284031
333	0.7786630489	0.5770726157
334	0.7786094246	0.5765686301
335	0.7788424557	0.576192735
336	0.7789662616	0.5759800171
337	0.7789616559	0.5756946903
338	0.7789913049	0.5755408652
339	0.7792175788	0.5753583585
340	0.7795314629	0.5751576819
341	0.7795882262	0.5748331732
342	0.7797160416	0.5745500694
343	0.7799624679	0.5742959192
344	0.7798368236	0.5742021235
345	0.7798425721	0.573853177
346	0.7800397273	0.5733423412
347	0.7802435211	0.5732052622
348	0.7803756612	0.5730464903
349	0.7803890367	0.5727804648
350	0.7804623314	0.5725330157
351	0.7803634176	0.5723608046
352	0.7804865477	0.5721458094
353	0.7805873665	0.5719794684
354	0.7809142701	0.5717935511
355	0.7816079831	0.5710792621
356	0.7815972171	0.5708253954
357	0.7816782164	0.5706327842
358	0.7820900805	0.5701525635
359	0.7822902052	0.5696405228
360	0.7822776288	0.5695200631
361	0.7824088242	0.5689066239
362	0.7826192364	0.5687033732
363	0.7826809975	0.5683911924
364	0.7827626727	0.5680526665
365	0.7824655127	0.5678968899
366	0.7826602332	0.5677451273
367	0.782787396	0.5670695885
368	0.7830830811	0.566901682
369	0.7831697343	0.566622462
370	0.7833189905	0.5663256637
371	0.7835607396	0.5659588955
372	0.7837081615	0.5654704412
373	0.783486138	0.5653676151
374	0.7836030922	0.5649591206
375	0.7836173613	0.5648417614
376	0.7835587161	0.564528024
377	0.7835365512	0.5643802683
378	0.7835003554	0.5642348699
379	0.7837575558	0.5637583349
380	0.7840430249	0.563556438
381	0.7843717593	0.5630505856
382	0.7846044031	0.5626687604
383	0.7847478162	0.5624556613
384	0.7848113128	0.5623449748
385	0.7851232952	0.5619684183
386	0.7852067577	0.5616820924
387	0.7854822395	0.5613973712
388	0.7855385161	0.5612656113
389	0.7861265534	0.5610286924
390	0.7862149421	0.5607480522
391	0.786368397	0.5601263768
392	0.786370837	0.5596997889
393	0.786582522	0.559464505
394	0.7867489739	0.5591950149
395	0.7866613324	0.5590752421
396	0.7867438066	0.5589130265
397	0.7868212831	0.5583745104
398	0.7868308948	0.5581844541
399	0.7869365453	0.5580289595
400	0.7869769602	0.5578530649
401	0.7871560315	0.5576589918
402	0.7872495922	0.5572344208
403	0.7876874361	0.5568689815
404	0.7881615601	0.5563996816
405	0.7881977559	0.5562299026
406	0.7886410249	0.5559854829
407	0.7889033925	0.5556979709
408	0.7889355047	0.5555383479
409	0.7893305112	0.555143872
410	0.7892223261	0.555061911
411	0.7894573901	0.5546855816
412	0.7896720044	0.5544111374
413	0.7896902545	0.5542942014
414	0.7894995951	0.5540031136
415	0.789643925	0.5537290018
416	0.7897570364	0.5535331833
417	0.7899237205	0.5532083775
418	0.7899203841	0.5530216705
419	0.7899633568	0.5528900453
420	0.7901415343	0.552423649
421	0.7900152652	0.5522504752
422	0.7903134135	0.5520062872
423	0.7904552802	0.5518385777
424	0.7906993264	0.5513426611
425	0.7906148042	0.5510867157
426	0.7908113781	0.5509242082
427	0.7909365644	0.5506571109
428	0.7910916602	0.5505792609
429	0.7911790608	0.5503480946
430	0.7915687572	0.5500222929
431	0.7916973513	0.5495216954
432	0.7918391745	0.5494615527
433	0.7919944398	0.5491854948
434	0.7919646963	0.5489814395
435	0.7920687773	0.5486935287
436	0.7920514128	0.5483124299
437	0.7920567794	0.5481596438
438	0.7921355613	0.5476797711
439	0.7923084722	0.5475084066
440	0.7924388455	0.5473620245
441	0.7923372276	0.5472866369
442	0.7924454127	0.5469989205
443	0.7925379798	0.5467406672
444	0.7924238801	0.546678796
445	0.7926304216	0.546167318
446	0.7925710291	0.5460709953
447	0.792825311	0.5459992602
448	0.7928433004	0.5458366245
449	0.7929232168	0.5457876077
450	0.7927415879	0.5456373318
451	0.7931375106	0.5453519144
452	0.7933703749	0.545149022
453	0.7934810232	0.5449028228
454	0.7935353002	0.5447271144
455	0.7935295551	0.544445027
456	0.7937270941	0.5441963482
457	0.7940762293	0.5438661763
458	0.7942538257	0.5434075396
459	0.794655328	0.5431506711
460	0.7947245731	0.5429467602
461	0.7948516413	0.542636776
462	0.7949696041	0.5423448045
463	0.7951042509	0.5422042086
464	0.7953377169	0.541667584
465	0.7953435369	0.5413804053
466	0.795273232	0.5410507174
467	0.7951442106	0.5408832894
468	0.7952472087	0.5406742029
469	0.7952761818	0.5404744498
470	0.7954914924	0.539889166
471	0.7958074326	0.539607951
472	0.7958149881	0.5394273539
473	0.7961201624	0.5391833574
474	0.7960739044	0.539068308
475	0.7961457787	0.53893899
476	0.7961929304	0.5388587824
477	0.796040804	0.538667584
478	0.7961417692	0.5385293483
479	0.7963490145	0.5380389488
480	0.7965569356	0.5378697712
481	0.7965492624	0.5376986553
482	0.7965517255	0.5374660328
483	0.7965790059	0.5373466636
484	0.7966302617	0.5372490217
485	0.7966986846	0.537113726
486	0.7968284616	0.5365720252
487	0.7972761471	0.5360622647
488	0.7974692696	0.5358282622
489	0.7975882956	0.5355310396
490	0.7974034759	0.5353234685
491	0.7978633111	0.5349094054
492	0.7980118397	0.5347610029
493	0.7980218584	0.5347049001
494	0.7979927907	0.5343589061
495	0.7980488781	0.5341246982
496	0.7981117221	0.5338806337
497	0.7979605125	0.5337106037
498	0.7982958142	0.5334713634
499	0.7984178614	0.5332916382
