iter	Passed	Remaining
0	9	4983
1	17	4465
2	23	3961
3	31	3888
4	38	3831
5	46	3837
6	55	3908
7	66	4106
8	77	4248
9	88	4350
10	100	4486
11	114	4639
12	128	4826
13	141	4912
14	159	5163
15	175	5320
16	188	5362
17	195	5238
18	202	5122
19	208	5014
20	218	4990
21	226	4928
22	233	4841
23	239	4757
24	248	4725
25	255	4651
26	262	4598
27	268	4523
28	275	4473
29	283	4435
30	289	4379
31	296	4343
32	302	4278
33	309	4242
34	318	4231
35	326	4201
36	332	4163
37	338	4120
38	346	4095
39	352	4054
40	360	4031
41	366	3993
42	373	3965
43	381	3948
44	387	3913
45	394	3895
46	400	3861
47	407	3840
48	417	3845
49	424	3821
50	431	3795
51	438	3776
52	446	3763
53	452	3738
54	460	3726
55	465	3693
56	473	3680
57	483	3685
58	495	3702
59	505	3709
60	515	3710
61	523	3696
62	532	3692
63	539	3673
64	547	3661
65	554	3644
66	560	3622
67	566	3602
68	576	3597
69	582	3576
70	588	3557
71	595	3538
72	601	3517
73	609	3507
74	616	3495
75	625	3488
76	631	3469
77	638	3455
78	646	3443
79	661	3475
80	680	3518
81	695	3546
82	712	3577
83	732	3628
84	751	3669
85	765	3684
86	776	3685
87	786	3681
88	799	3691
89	814	3709
90	828	3721
91	841	3730
92	852	3732
93	864	3733
94	877	3740
95	901	3792
96	915	3803
97	926	3802
98	938	3802
99	945	3782
100	953	3767
101	959	3743
102	967	3727
103	975	3713
104	982	3695
105	989	3677
106	995	3656
107	1003	3643
108	1011	3627
109	1022	3625
110	1030	3609
111	1038	3597
112	1044	3578
113	1053	3565
114	1058	3544
115	1066	3529
116	1074	3516
117	1080	3499
118	1087	3482
119	1094	3466
120	1104	3459
121	1113	3450
122	1123	3443
123	1133	3438
124	1143	3429
125	1153	3424
126	1162	3414
127	1169	3399
128	1181	3398
129	1195	3403
130	1207	3400
131	1218	3396
132	1230	3394
133	1244	3399
134	1257	3400
135	1268	3395
136	1279	3389
137	1291	3388
138	1305	3390
139	1314	3380
140	1325	3375
141	1339	3377
142	1350	3370
143	1361	3365
144	1368	3349
145	1375	3335
146	1388	3333
147	1397	3324
148	1403	3306
149	1412	3296
150	1428	3300
151	1435	3286
152	1444	3275
153	1456	3271
154	1469	3270
155	1482	3268
156	1490	3255
157	1497	3240
158	1502	3222
159	1510	3209
160	1518	3197
161	1526	3185
162	1533	3169
163	1540	3156
164	1547	3142
165	1554	3126
166	1560	3112
167	1566	3095
168	1573	3081
169	1581	3070
170	1587	3054
171	1594	3041
172	1600	3025
173	1608	3013
174	1616	3001
175	1626	2994
176	1632	2978
177	1639	2966
178	1647	2954
179	1654	2941
180	1663	2931
181	1675	2927
182	1687	2923
183	1696	2914
184	1707	2907
185	1718	2901
186	1732	2899
187	1743	2893
188	1756	2889
189	1766	2882
190	1779	2879
191	1787	2866
192	1794	2854
193	1808	2852
194	1819	2846
195	1832	2841
196	1844	2836
197	1855	2829
198	1868	2826
199	1882	2823
200	1894	2818
201	1906	2812
202	1920	2809
203	1933	2804
204	1948	2803
205	1965	2805
206	1981	2804
207	1995	2801
208	2012	2802
209	2035	2811
210	2049	2807
211	2065	2805
212	2084	2809
213	2102	2809
214	2125	2817
215	2139	2812
216	2155	2811
217	2176	2815
218	2198	2821
219	2222	2829
220	2240	2828
221	2255	2824
222	2276	2827
223	2289	2821
224	2302	2814
225	2316	2809
226	2331	2804
227	2347	2800
228	2359	2792
229	2371	2784
230	2383	2776
231	2397	2769
232	2411	2762
233	2477	2816
234	2495	2814
235	2520	2819
236	2531	2808
237	2541	2797
238	2549	2784
239	2556	2769
240	2564	2755
241	2571	2741
242	2579	2728
243	2585	2712
244	2592	2698
245	2599	2684
246	2606	2669
247	2613	2655
248	2619	2640
249	2625	2625
250	2634	2613
251	2641	2599
252	2648	2585
253	2654	2570
254	2661	2557
255	2669	2544
256	2676	2530
257	2682	2515
258	2688	2501
259	2695	2487
260	2702	2475
261	2711	2462
262	2717	2448
263	2723	2435
264	2732	2422
265	2739	2410
266	2747	2397
267	2753	2383
268	2761	2371
269	2769	2359
270	2777	2347
271	2783	2333
272	2789	2319
273	2797	2307
274	2803	2293
275	2810	2280
276	2816	2267
277	2823	2254
278	2832	2243
279	2838	2230
280	2845	2218
281	2851	2204
282	2858	2192
283	2866	2180
284	2874	2168
285	2880	2155
286	2886	2142
287	2894	2130
288	2901	2118
289	2908	2106
290	2914	2093
291	2921	2080
292	2930	2070
293	2936	2057
294	2943	2045
295	2949	2032
296	2957	2021
297	2965	2010
298	2974	1999
299	2981	1987
300	2988	1975
301	2995	1963
302	3002	1951
303	3011	1941
304	3019	1930
305	3026	1918
306	3034	1907
307	3042	1896
308	3047	1883
309	3055	1873
310	3063	1861
311	3071	1851
312	3078	1838
313	3084	1827
314	3092	1816
315	3098	1804
316	3105	1792
317	3111	1781
318	3118	1769
319	3126	1758
320	3132	1746
321	3140	1735
322	3145	1723
323	3152	1712
324	3161	1702
325	3168	1691
326	3174	1679
327	3180	1667
328	3186	1656
329	3194	1645
330	3201	1634
331	3208	1623
332	3214	1612
333	3222	1601
334	3229	1590
335	3236	1579
336	3242	1568
337	3250	1557
338	3258	1547
339	3265	1536
340	3272	1525
341	3277	1514
342	3284	1503
343	3292	1493
344	3300	1482
345	3307	1472
346	3313	1460
347	3321	1450
348	3327	1439
349	3334	1429
350	3341	1418
351	3350	1408
352	3358	1398
353	3366	1388
354	3372	1377
355	3378	1366
356	3385	1355
357	3393	1345
358	3400	1335
359	3406	1324
360	3412	1313
361	3419	1303
362	3426	1293
363	3434	1283
364	3440	1272
365	3448	1262
366	3461	1254
367	3468	1244
368	3474	1233
369	3481	1223
370	3489	1213
371	3497	1203
372	3503	1192
373	3509	1182
374	3518	1172
375	3525	1162
376	3534	1153
377	3539	1142
378	3547	1132
379	3554	1122
380	3562	1112
381	3568	1102
382	3574	1091
383	3581	1081
384	3588	1071
385	3596	1062
386	3602	1051
387	3609	1041
388	3618	1032
389	3624	1022
390	3631	1012
391	3636	1001
392	3644	992
393	3652	982
394	3658	972
395	3665	962
396	3673	953
397	3682	943
398	3691	934
399	3699	924
400	3705	914
401	3712	905
402	3720	895
403	3727	885
404	3733	875
405	3741	866
406	3751	857
407	3758	847
408	3765	837
409	3772	828
410	3781	818
411	3787	808
412	3794	799
413	3800	789
414	3806	779
415	3815	770
416	3821	760
417	3829	751
418	3836	741
419	3843	732
420	3850	722
421	3858	713
422	3865	703
423	3872	694
424	3879	684
425	3885	674
426	3892	665
427	3898	655
428	3904	646
429	3911	636
430	3918	627
431	3925	617
432	3933	608
433	3940	599
434	3949	590
435	3956	580
436	3962	571
437	3969	561
438	3977	552
439	3983	543
440	3990	533
441	3997	524
442	4004	515
443	4012	506
444	4018	496
445	4025	487
446	4034	478
447	4043	469
448	4049	459
449	4056	450
450	4062	441
451	4068	432
452	4075	422
453	4082	413
454	4089	404
455	4094	395
456	4101	385
457	4108	376
458	4114	367
459	4121	358
460	4129	349
461	4137	340
462	4145	331
463	4153	322
464	4159	313
465	4165	303
466	4173	294
467	4180	285
468	4186	276
469	4194	267
470	4201	258
471	4209	249
472	4215	240
473	4223	231
474	4230	222
475	4237	213
476	4244	204
477	4251	195
478	4259	186
479	4267	177
480	4276	168
481	4291	160
482	4301	151
483	4309	142
484	4318	133
485	4326	124
486	4334	115
487	4342	106
488	4351	97
489	4357	88
490	4365	80
491	4373	71
492	4382	62
493	4388	53
494	4394	44
495	4403	35
496	4409	26
497	4419	17
498	4425	8
499	4438	0
