iter	Accuracy	MultiClass
0	0.6667509246	1.453214926
1	0.6684706713	1.341519543
2	0.6724637587	1.260210368
3	0.673288884	1.192555646
4	0.6860717775	1.137270128
5	0.6928796143	1.090209232
6	0.6905583126	1.050396834
7	0.6882461684	1.017867823
8	0.6918507481	0.9898229595
9	0.6885229114	0.9673074251
10	0.6887996541	0.9449479696
11	0.6891818252	0.9274240067
12	0.6896126673	0.9093456763
13	0.6908976435	0.8959883063
14	0.6911440995	0.8834445571
15	0.6958207604	0.8704110734
16	0.6972115359	0.8582464757
17	0.6968220494	0.8482607514
18	0.6965544427	0.8396324541
19	0.6965236026	0.8310468267
20	0.6974964826	0.8258287114
21	0.6988034641	0.8176546743
22	0.7002273029	0.8104691275
23	0.700538551	0.804591638
24	0.70227157	0.8002444343
25	0.7026695767	0.7946529422
26	0.7023641077	0.7898143659
27	0.7038429288	0.788092542
28	0.7059221994	0.7831494165
29	0.706386321	0.7783089338
30	0.7063821928	0.7748474323
31	0.7052068412	0.7710847514
32	0.7053797095	0.7681173173
33	0.7071026762	0.7654977426
34	0.7083246101	0.7624734585
35	0.7095561888	0.7588702698
36	0.7111812185	0.7566805009
37	0.7111694613	0.7549025012
38	0.7118795529	0.7520524629
39	0.7122045971	0.7508117054
40	0.7130920744	0.748153958
41	0.7133997644	0.7459960914
42	0.7134588621	0.7445219207
43	0.7137498257	0.7436330109
44	0.7142475819	0.7424924805
45	0.7144281872	0.7409865908
46	0.7146276871	0.7397083741
47	0.7144980725	0.7387714175
48	0.7148211667	0.7371170886
49	0.7149081753	0.7355342421
50	0.7152852349	0.7344844819
51	0.716967503	0.7324433731
52	0.7170595029	0.7317865966
53	0.7177462089	0.729466169
54	0.718533994	0.7284662101
55	0.7185219317	0.727192152
56	0.7180444029	0.7257973277
57	0.7183283527	0.7248398995
58	0.7184202271	0.724127177
59	0.7185492767	0.7226994976
60	0.7194635228	0.7217365652
61	0.7198133019	0.7204753176
62	0.7195142848	0.7195797978
63	0.7196099202	0.7182983708
64	0.7207078252	0.7167410556
65	0.7206954109	0.7157655797
66	0.7207409627	0.7147901686
67	0.7211481547	0.7133999209
68	0.7212420466	0.7123696502
69	0.7215073755	0.711991705
70	0.7220657067	0.7111868463
71	0.7223218768	0.7104099178
72	0.7220547818	0.7095737769
73	0.7223351507	0.7091196187
74	0.7226263411	0.7081940466
75	0.7234596292	0.7071523234
76	0.7232882007	0.7068173721
77	0.7241159616	0.705186825
78	0.7244318563	0.7041550721
79	0.7252420017	0.7029582431
80	0.72543262	0.7021996574
81	0.7253499401	0.7020172241
82	0.7254654987	0.7012589146
83	0.7251159336	0.7007409325
84	0.7256538357	0.6997340216
85	0.7260947553	0.6985102384
86	0.7264736125	0.6976371835
87	0.726783183	0.6968693189
88	0.7273204004	0.6956478553
89	0.7275800538	0.6949813728
90	0.72799924	0.6940144398
91	0.7283096023	0.693073592
92	0.7285550975	0.6923580863
93	0.7294999198	0.6913101374
94	0.7297812585	0.6907829717
95	0.7300413906	0.6904106799
96	0.7299110516	0.6897197653
97	0.7306900259	0.6890658782
98	0.7305793193	0.6887556204
99	0.7321478007	0.6872868904
100	0.7321880584	0.6870180597
101	0.7322430779	0.6863037026
102	0.7321216341	0.6849840879
103	0.7321314548	0.6844907888
104	0.7320408997	0.6841664219
105	0.7328749658	0.6831818671
106	0.7325982018	0.6827456757
107	0.7333460327	0.6821287794
108	0.7338919739	0.6811144924
109	0.7337869823	0.6802078054
110	0.7339386619	0.6797821099
111	0.733915832	0.6792910498
112	0.7343237443	0.6784104441
113	0.7353379816	0.6772951983
114	0.7353346004	0.6765766769
115	0.7358916652	0.675833553
116	0.7365361508	0.675134834
117	0.7367723617	0.6747533416
118	0.736453439	0.6739569384
