iter	Accuracy	MultiClass
0	0.6629555029	1.454730931
1	0.6736903597	1.340496899
2	0.674696516	1.257666357
3	0.6742846868	1.186865113
4	0.6797815491	1.130328363
5	0.6790375143	1.084047049
6	0.6882726609	1.044402879
7	0.6883076951	1.011883271
8	0.6880108628	0.9849770038
9	0.6877366467	0.9640311498
10	0.6903460619	0.9422230553
11	0.6939114235	0.9230659804
12	0.6939975914	0.9066357828
13	0.6941774289	0.8933598865
14	0.6941771026	0.8773853191
15	0.6990333518	0.864009618
16	0.7001847143	0.8525866743
17	0.7001604645	0.8426756586
18	0.7006543844	0.8325091911
19	0.7017192385	0.8228974339
20	0.7021564909	0.8145276952
21	0.7057408586	0.8069916226
22	0.7063848744	0.8018059529
23	0.7066001287	0.7957508976
24	0.707336081	0.7902456148
25	0.7069714401	0.7846780103
26	0.7068349377	0.7800586803
27	0.7073181795	0.7756319045
28	0.708883445	0.7721363631
29	0.7094143919	0.7692912748
30	0.7099789507	0.7648606056
31	0.7097443559	0.7611579303
32	0.710794159	0.757465131
33	0.7109900588	0.7553054266
34	0.7106946476	0.7537850172
35	0.7120795846	0.7509938958
36	0.7121923898	0.7491616397
37	0.7121134401	0.7473423465
38	0.7118572728	0.7449425717
39	0.7136299248	0.7430938117
40	0.7139171483	0.7415194921
41	0.7141671878	0.7398059602
42	0.7140816906	0.7380748688
43	0.7145741879	0.736028536
44	0.71530657	0.7352419772
45	0.7155223163	0.7338443933
46	0.7155282281	0.732956041
47	0.7160160249	0.7309734145
48	0.7166087888	0.7299981485
49	0.7169615247	0.7285455707
50	0.7171698246	0.7273747755
51	0.7177509478	0.7263529466
52	0.7176839155	0.7250621319
53	0.7179068795	0.7231969303
54	0.718566426	0.7214203335
55	0.7191271132	0.7204806182
56	0.7191252703	0.7192571575
57	0.7193149633	0.7183008515
58	0.7195173976	0.7170944831
59	0.7200314431	0.7151312295
60	0.7205540848	0.7145240898
61	0.7203873185	0.713773372
62	0.7209197709	0.7128319258
63	0.7212991313	0.7114149066
64	0.7230272967	0.7092690362
65	0.7235367873	0.7082533006
66	0.7234542512	0.7068926471
67	0.7234750624	0.7054762938
68	0.7238787357	0.704921814
69	0.7241546726	0.704036756
70	0.7242182118	0.703116601
71	0.7247594563	0.7025567497
72	0.7252019943	0.7018210438
73	0.7253216956	0.7013362303
74	0.7254716926	0.7001656504
75	0.7257275375	0.6992915496
76	0.7265575868	0.6980029149
77	0.7272102677	0.6970304898
78	0.7275042125	0.6961261127
79	0.7275066006	0.6955191277
80	0.7278361675	0.6949011923
81	0.7279546297	0.6940306559
82	0.7280416644	0.6932257728
83	0.7282624999	0.69221598
84	0.7283333107	0.6915445635
85	0.7284533642	0.6905728135
86	0.7290450414	0.6897253793
87	0.7291094936	0.6889282054
88	0.7294297811	0.6880248724
89	0.7298509621	0.6874761507
90	0.7296021285	0.6868025663
91	0.7298433901	0.6860201021
92	0.7298001255	0.6852628901
93	0.7298670816	0.6848265757
94	0.7304418685	0.684325293
95	0.7306093241	0.6835935909
96	0.7307476368	0.6831806148
97	0.7309166082	0.6825670466
98	0.7314279847	0.6813658528
99	0.7315072777	0.6804201271
100	0.7318186936	0.6799422901
101	0.7316635129	0.6790579505
102	0.7324928207	0.6780054449
103	0.7322842247	0.6773081513
104	0.733022527	0.6762053251
105	0.7330792026	0.6757320995
106	0.7331975798	0.6753076562
107	0.7342264421	0.6749448101
108	0.7345173463	0.6742842428
109	0.7338866344	0.6735187747
110	0.7350130404	0.6730608872
111	0.7353361356	0.672433637
112	0.7349691975	0.6717883616
113	0.7353819577	0.6714950944
114	0.7359447238	0.6704902703
115	0.7360864973	0.6698474082
116	0.7368176939	0.6691278536
117	0.7369889815	0.6686381798
118	0.7372631292	0.6681624452
119	0.7374345376	0.6671084055
120	0.7376295133	0.6662255999
121	0.7377842598	0.6658075488
122	0.7379547248	0.66533815
123	0.7380727122	0.6646779524
124	0.7381678139	0.6643083323
125	0.738268523	0.6639375958
126	0.738715237	0.6630012352
127	0.7392413619	0.6625696535
128	0.7395064363	0.6621413851
129	0.7398405952	0.6615357595
130	0.7402610511	0.6607269965
131	0.7404493536	0.6601398238
132	0.7409432465	0.6596697037
133	0.7408783474	0.6591155797
134	0.7410522732	0.6588709369
135	0.7414927542	0.6578900379
136	0.7413872378	0.6573964908
137	0.7416676418	0.6568830974
138	0.7417646931	0.6563682615
139	0.7423833705	0.6554599272
140	0.7432834313	0.6544495433
141	0.7434865224	0.6537394024
142	0.7436324994	0.6529226447
143	0.7436872387	0.6524363306
144	0.7447378429	0.6517571886
145	0.7444458662	0.650996943
146	0.7445210325	0.6506460514
147	0.7445497593	0.65021034
148	0.744737557	0.6498362225
149	0.7447919249	0.6494736274
150	0.7453095621	0.6485723916
151	0.7458657898	0.6479490756
152	0.7459060449	0.6476049923
153	0.7465296815	0.6469349461
154	0.7468166638	0.6463765113
155	0.7469481029	0.645933723
156	0.7468078004	0.6454246169
157	0.7471689074	0.6448993464
158	0.7476076803	0.6441826626
159	0.7478246696	0.6437654501
160	0.7479296897	0.6430826831
161	0.7479968428	0.6427889762
162	0.7484859099	0.6419897313
163	0.7487017989	0.6411582962
164	0.7489528501	0.6408185532
165	0.749029036	0.640345651
166	0.7491858395	0.6393285419
167	0.749199657	0.6388567693
168	0.7496309082	0.6379250146
169	0.7497183676	0.6373266755
170	0.7498931436	0.6367474526
171	0.7498990554	0.6362010897
172	0.7502632742	0.6355177846
173	0.7512810019	0.6343691011
174	0.7518202424	0.6337988469
175	0.7515888849	0.6331263505
176	0.7520737351	0.6327751558
177	0.7523765919	0.6323779399
178	0.7524373636	0.6320829554
179	0.7526902213	0.6319188906
180	0.7528303629	0.6314415694
181	0.7529760766	0.6310356463
182	0.7529407808	0.6304722387
183	0.7531798026	0.6295074697
184	0.7537006595	0.6290626871
185	0.7539276927	0.6284735262
186	0.7540413615	0.6278275716
187	0.7540672307	0.6271289263
188	0.7543235366	0.6267606234
189	0.75443284	0.6264977911
190	0.7546960009	0.626240203
191	0.7548964624	0.625621471
192	0.7552515947	0.625192849
193	0.7554496595	0.6246165929
194	0.755885937	0.6237099996
195	0.7563594465	0.6231211659
196	0.7565747008	0.6223870925
197	0.7566118793	0.6217888037
198	0.756790022	0.621569286
199	0.7573934688	0.6211376539
200	0.7575489038	0.6205165033
201	0.7576548673	0.6202656576
202	0.7579672489	0.6198028487
203	0.7581559766	0.6193778346
204	0.7584298651	0.6190260438
205	0.758482534	0.6188132987
206	0.7583841587	0.6185450001
207	0.7584564453	0.6183184435
208	0.7582758072	0.6175802073
