iter	Passed	Remaining
0	10	5315
1	20	5135
2	29	4832
3	37	4654
4	45	4490
5	53	4395
6	60	4270
7	69	4257
8	75	4112
9	83	4077
10	90	4038
11	98	4010
12	105	3937
13	110	3833
14	118	3823
15	126	3829
16	134	3833
17	142	3808
18	150	3818
19	159	3817
20	166	3807
21	176	3831
22	184	3822
23	193	3840
24	200	3815
25	208	3797
26	216	3791
27	227	3831
28	237	3860
29	247	3878
30	255	3859
31	262	3839
32	268	3805
33	275	3772
34	282	3755
35	290	3738
36	298	3737
37	304	3703
38	311	3680
39	319	3668
40	326	3652
41	335	3657
42	340	3622
43	350	3632
44	357	3619
45	366	3614
46	372	3586
47	380	3585
48	388	3572
49	396	3568
50	402	3543
51	409	3531
52	418	3525
53	425	3515
54	432	3500
55	439	3484
56	446	3471
57	454	3463
58	462	3457
59	468	3434
60	476	3430
61	484	3425
62	492	3417
63	498	3398
64	505	3382
65	513	3376
66	523	3383
67	532	3380
68	538	3360
69	545	3350
70	552	3338
71	560	3333
72	566	3312
73	574	3307
74	582	3299
75	590	3292
76	596	3276
77	601	3255
78	609	3248
79	617	3242
80	624	3231
81	632	3226
82	640	3216
83	647	3208
84	654	3193
85	660	3181
86	666	3163
87	674	3155
88	681	3147
89	688	3136
90	694	3121
91	699	3104
92	707	3097
93	715	3090
94	723	3082
95	730	3075
96	736	3061
97	744	3053
98	750	3040
99	757	3030
100	763	3015
101	770	3004
102	777	2998
103	784	2986
104	791	2978
105	797	2963
106	804	2953
107	811	2945
108	817	2933
109	824	2924
110	830	2912
111	838	2903
112	845	2896
113	853	2890
114	860	2879
115	866	2867
116	872	2857
117	879	2848
118	887	2840
119	893	2828
120	899	2816
121	907	2810
122	913	2800
123	920	2791
124	928	2784
125	936	2780
126	949	2787
127	960	2792
128	968	2784
129	975	2777
130	982	2766
131	988	2756
132	993	2742
133	1001	2734
134	1009	2728
135	1017	2722
136	1025	2716
137	1032	2707
138	1040	2701
139	1046	2691
140	1054	2683
141	1059	2670
142	1066	2662
143	1074	2655
144	1080	2644
145	1087	2635
146	1092	2623
147	1099	2614
148	1107	2608
149	1113	2597
150	1122	2593
151	1128	2583
152	1135	2574
153	1141	2565
154	1149	2557
155	1156	2550
156	1167	2550
157	1178	2550
158	1188	2549
159	1197	2545
160	1205	2538
161	1212	2529
162	1220	2522
163	1226	2513
164	1234	2505
165	1239	2494
166	1246	2486
167	1255	2480
168	1262	2472
169	1268	2462
170	1274	2451
171	1282	2446
172	1295	2448
173	1308	2451
174	1322	2456
175	1334	2456
176	1343	2451
177	1354	2449
178	1364	2447
179	1374	2443
180	1384	2440
181	1391	2431
182	1397	2421
183	1403	2409
184	1410	2401
185	1418	2395
186	1425	2386
187	1431	2376
188	1437	2365
189	1444	2356
190	1451	2348
191	1459	2340
192	1465	2330
193	1471	2320
194	1479	2314
195	1485	2304
196	1492	2295
197	1498	2286
198	1506	2278
199	1515	2273
200	1524	2268
201	1535	2264
202	1545	2261
203	1551	2251
204	1558	2242
205	1565	2234
206	1573	2226
207	1580	2219
208	1588	2211
209	1594	2201
210	1600	2191
211	1608	2184
212	1616	2178
213	1623	2170
214	1630	2160
215	1636	2151
216	1645	2145
217	1651	2136
218	1658	2127
219	1663	2117
220	1671	2110
221	1680	2103
222	1687	2096
223	1694	2087
224	1699	2077
225	1707	2070
226	1714	2062
227	1721	2054
228	1728	2045
229	1734	2036
230	1741	2028
231	1748	2020
232	1755	2011
233	1760	2001
234	1767	1992
235	1775	1985
236	1780	1976
237	1787	1967
238	1793	1958
239	1799	1949
240	1807	1942
241	1814	1934
242	1821	1926
243	1827	1917
244	1834	1909
245	1842	1902
246	1848	1893
247	1855	1885
248	1860	1875
249	1867	1867
250	1875	1860
251	1882	1852
252	1888	1843
253	1894	1834
254	1901	1826
255	1912	1822
256	1923	1818
257	1934	1814
258	1942	1807
259	1949	1799
260	1955	1791
261	1962	1782
262	1969	1774
263	1976	1766
264	1984	1759
265	1990	1750
266	1996	1742
267	2004	1735
268	2011	1727
269	2018	1719
270	2023	1710
271	2031	1702
272	2039	1695
273	2045	1687
274	2053	1679
275	2058	1670
276	2065	1663
277	2073	1656
278	2080	1648
279	2087	1639
280	2093	1631
281	2100	1623
282	2107	1616
283	2114	1608
284	2120	1600
285	2127	1591
286	2135	1584
287	2141	1576
288	2149	1569
289	2154	1560
290	2160	1551
291	2168	1544
292	2174	1536
293	2182	1529
294	2188	1520
295	2195	1513
296	2204	1506
297	2211	1499
298	2217	1490
299	2223	1482
300	2231	1475
301	2239	1468
302	2246	1460
303	2252	1452
304	2258	1444
305	2266	1436
306	2273	1429
307	2279	1421
308	2285	1412
309	2292	1405
310	2301	1398
311	2307	1390
312	2314	1382
313	2319	1374
314	2327	1367
315	2336	1360
316	2343	1352
317	2349	1344
318	2355	1336
319	2363	1329
320	2369	1321
321	2376	1313
322	2382	1305
323	2388	1297
324	2397	1290
325	2406	1284
326	2413	1277
327	2419	1268
328	2426	1261
329	2434	1254
330	2441	1246
331	2449	1239
332	2456	1231
333	2464	1224
334	2470	1216
335	2478	1209
336	2484	1201
337	2491	1194
338	2500	1187
339	2508	1180
340	2515	1172
341	2522	1165
342	2530	1158
343	2537	1150
344	2544	1143
345	2550	1135
346	2557	1127
347	2565	1120
348	2572	1113
349	2579	1105
350	2584	1097
351	2591	1089
352	2600	1082
353	2607	1075
354	2613	1067
355	2619	1059
356	2627	1052
357	2633	1044
358	2640	1037
359	2646	1029
360	2653	1021
361	2661	1014
